Code,Name,Day_low,Day_high,Price,Previous_price,Volume
EGAD,"Eaagads Ltd
",12.65,12.65,12.65,12.65,-
KUKZ,"Kakuzi Plc
",424.50,424.50,424.50,424.50,-
KAPC,"Kapchorua Tea Kenya Plc
",90.25,90.25,90.25,90.25,100
LIMT,"Limuru Tea Plc
",320.00,320.00,320.00,320.00,-
SASN,"Sasini Plc
",19.50,20.00,19.50,19.35,"3,800"
WTK,"Williamson Tea Kenya Plc
",133.50,133.50,133.50,133.50,-
CGEN,"Car and General (K) Ltd
",45.00,45.00,45.00,48.00,100
ABSA,"ABSA Bank Kenya Plc
",12.45,12.80,12.55,12.40,"868,700"
BKG,"BK Group Plc
",29.00,30.00,29.20,29.00,"2,600"
COOP,"Co-operative Bank of Kenya Ltd
",12.70,13.15,12.80,12.85,"41,000"
DTK,"Diamond Trust Bank Kenya Ltd
",56.00,57.00,56.00,57.00,"1,700"
EQTY,"Equity Group Holdings Plc
",49.30,50.00,49.65,50.00,"719,300"
HFCK,"HF Group Ltd
",3.00,3.10,3.03,3.00,"7,000"
IMH,"I & M Holdings Plc
",20.30,20.45,20.35,20.40,"5,000"
KCB,"KCB Group Plc
",43.00,43.50,43.20,43.45,"134,900"
NBK,"National Bank of Kenya Ltd
",4.12,4.12,4.12,4.12,-
NCBA,"NCBA Group Plc
",26.00,26.55,26.50,26.85,"10,800"
SBIC,"Stanbic Holdings Plc
",104.25,104.75,104.50,104.25,"2,300"
SCBK,"Standard Chartered Bank Kenya Ltd
",144.00,145.50,144.50,144.25,"13,200"
DCON,"Deacons (East Africa) Plc
",0.45,0.45,0.45,0.45,-
EVRD,"Eveready East Africa Ltd
",0.77,0.85,0.80,0.80,"2,600"
XPRS,"Express Kenya Plc
",3.90,3.90,3.90,3.90,-
HBE,"Homeboyz Entertainment Plc
",4.66,4.66,4.66,4.66,-
KQ,"Kenya Airways Plc
",3.83,3.83,3.83,3.83,-
LKL,"Longhorn Publishers Plc
",3.40,3.50,3.41,3.41,"5,400"
NBV,"Nairobi Business Ventures Ltd
",3.90,4.28,4.13,3.90,"15,800"
NMG,"Nation Media Group Plc
",20.80,21.50,20.90,21.50,"1,600"
